
Прококол загрузки файла с ценами от 2017-02-22 11:14:05.933891
Строка № 1 не загружена! ['0 130 007 027', 'BOSCH', '0', '3294', '2536', '2635', '2339', '', '', '\n']
Строка № 2 не загружена! ['0 130 007 051', 'BOSCH', '0', '3658', '2817', '2927', '2597', '', '', '\n']
Строка № 3 не загружена! ['0 130 007 064', 'BOSCH', '0', '2898', '2231', '2318', '2058', '', '', '\n']
Строка № 4 не загружена! ['0 130 007 325', 'BOSCH', '0', '4977', '3832', '3982', '3534', '', '', '\n']
Строка № 7 не загружена! ['0 182 457 113', 'BOSCH', '0', '3780', '2911', '3024', '2684', '', '', '\n']
Строка № 8 не загружена! ['0 205 001 028', 'BOSCH', '0', '24590', '18935', '19672', '17459', '', '', '\n']
Строка № 9 не загружена! ['0 206 001 028', 'BOSCH', '0', '30240', '23285', '24192', '21470', '', '', '\n']
Строка № 30 не загружена! ['0 986 280 107 9B9', 'BOSCH', '0', '16001', '12320', '12800', '11361', '', '', '\n']
Строка № 35 не загружена! ['1 467 010 059', 'BOSCH', '0', '570', '439', '445', '428', '', '', '\n']
Строка № 36 не загружена! ['F 00V C99 002', 'BOSCH', '0', '121', '93', '95', '91', '', '', '\n']
Строка № 37 не загружена! ['0 433 171 071', 'BOSCH', '3', '2520', '1940', '2016', '1915', '', '', '\n']
Строка № 43 не загружена! ['0 433 171 225', 'BOSCH', '5', '2869', '2209', '2295', '2180', '', '', '\n']
Строка № 46 не загружена! ['0 433 175 054', 'BOSCH', '1', '1830', '1409', '1463', '1390', '', '', '\n']
Строка № 47 не загружена! ['0 433 175 083', 'BOSCH', '4', '3769', '2902', '3015', '2864', '', '', '\n']
Строка № 49 не загружена! ['0 433 271 655', 'BOSCH', '0', '2032', '1565', '1626', '1545', '', '', '\n']
Строка № 57 не загружена! ['0 434 250 115', 'BOSCH', '10', '1702', '1311', '1362', '1294', '', '', '\n']
